"拼音"	"寬式IPA"	"調號"	"字甲"	"字乙"	"釋義"
"sai"	"sai"	1	"筛"
"sai"	"sai"	1	"籭"
"sai"	"sai"	1	"簁"
"sai"	"sai"	1	"顋"
"sai"	"sai"	1	"腮"
"sai"	"sai"	1	"鰓"
"sai"	"sai"	1	"鳃"
"sai"	"sai"	1	"思"
"sai"	"sai"	1	"偲"
"sai"	"sai"	1	"䰄"
"sai"	"sai"	1	"罳"
"sai"	"sai"	1	"毸"
"sai"	"sai"	1	"毢"
"sai"	"sai"	3	"灑"
"sai"	"sai"	3	"洒"
"sai"	"sai"	3	"纚"
"sai"	"sai"	5	"曬"
"sai"	"sai"	5	"晒"
"sai"	"sai"	5	"殺"
"sai"	"sai"	5	"杀"
"sai"	"sai"	5	"鎩"
"sai"	"sai"	5	"铩"
"sai"	"sai"	5	"賽"
"sai"	"sai"	5	"赛"
"sai"	"sai"	5	"塞"
"sai"	"sai"	5	"寨"
"gai"	"kai"	1	"垓"
"gai"	"kai"	1	"陔"
"gai"	"kai"	1	"該"
"gai"	"kai"	1	"该"
"gai"	"kai"	1	"賅"
"gai"	"kai"	1	"赅"
"gai"	"kai"	1	"荄"
"gai"	"kai"	1	"痎"
"gai"	"kai"	1	"磑"
"gai"	"kai"	1	"街"
"gai"	"kai"	1	"皆"
"gai"	"kai"	1	"偕"
"gai"	"kai"	1	"喈"
"gai"	"kai"	1	"階"
"gai"	"kai"	1	"堦"
"gai"	"kai"	1	"湝"
"gai"	"kai"	1	"稭"
"gai"	"kai"	1	"䕸"
"gai"	"kai"	1	"薢"
"gai"	"kai"	3	"改"
"gai"	"kai"	3	"解"
"gai"	"kai"	3	"檞"
"gai"	"kai"	5	"蓋"
"gai"	"kai"	5	"丐"
"gai"	"kai"	5	"匄"
"gai"	"kai"	5	"鈣"
"gai"	"kai"	5	"钙"
"gai"	"kai"	5	"戤"
"gai"	"kai"	5	"介"
"gai"	"kai"	5	"价"
"gai"	"kai"	5	"芥"
"gai"	"kai"	5	"玠"
"gai"	"kai"	5	"疥"
"gai"	"kai"	5	"界"
"gai"	"kai"	5	"蚧"
"gai"	"kai"	5	"骱"
"gai"	"kai"	5	"岕"
"gai"	"kai"	5	"尬"
"gai"	"kai"	5	"齘"
"gai"	"kai"	5	"䯰"
"gai"	"kai"	5	"屆"
"gai"	"kai"	5	"解"
"gai"	"kai"	5	"戒"
"gai"	"kai"	5	"誡"
"gai"	"kai"	5	"诫"
"gai"	"kai"	5	"械"
"gai"	"kai"	5	"㕢"
"gai"	"kai"	7	"个"		"「个一」的合音。～个"
"gai"	"kai"	7	"個"
"gai"	"kai"	7	"个"
"kai"	"kʰai"	1	"開"
"kai"	"kʰai"	1	"开"
"kai"	"kʰai"	1	"鐦"
"kai"	"kʰai"	1	"揩"
"kai"	"kʰai"	3	"楷"
"kai"	"kʰai"	3	"鍇"
"kai"	"kʰai"	3	"锴"
"kai"	"kʰai"	3	"豈"
"kai"	"kʰai"	3	"岂"
"kai"	"kʰai"	3	"愷"
"kai"	"kʰai"	3	"恺"
"kai"	"kʰai"	3	"凱"
"kai"	"kʰai"	3	"凯"
"kai"	"kʰai"	3	"剴"
"kai"	"kʰai"	3	"剀"
"kai"	"kʰai"	3	"塏"
"kai"	"kʰai"	3	"垲"
"kai"	"kʰai"	3	"鎧"
"kai"	"kʰai"	3	"铠"
"kai"	"kʰai"	3	"闓"
"kai"	"kʰai"	3	"闿"
"kai"	"kʰai"	3	"肯"
"kai"	"kʰai"	3	"慨"
"kai"	"kʰai"	5	"咳"
"kai"	"kʰai"	5	"欬"
"kai"	"kʰai"	5	"顗"
"kai"	"kʰai"	5	"愒"
"kai"	"kʰai"	5	"愾"
"kai"	"kʰai"	5	"忾"
"kai"	"kʰai"	5	"慨"
"kai"	"kʰai"	5	"嘅"
"kai"	"kʰai"	5	"溉"
"kai"	"kʰai"	5	"概"
"kai"	"kʰai"	5	"摡"
"ngai"	"ŋai"	1	"哀"
"ngai"	"ŋai"	1	"挨"
"ngai"	"ŋai"	1	"埃"
"ngai"	"ŋai"	1	"娭"
"ngai"	"ŋai"	2	"獃"
"ngai"	"ŋai"	2	"呆"
"ngai"	"ŋai"	2	"騃"
"ngai"	"ŋai"	2	"挨"
"ngai"	"ŋai"	2	"埃"
"ngai"	"ŋai"	2	"皚"
"ngai"	"ŋai"	2	"皑"
"ngai"	"ŋai"	2	"捱"
"ngai"	"ŋai"	2	"崖"
"ngai"	"ŋai"	2	"厓"
"ngai"	"ŋai"	2	"睚"
"ngai"	"ŋai"	2	"啀"
"ngai"	"ŋai"	2	"巖"
"ngai"	"ŋai"	2	"岩"
"ngai"	"ŋai"	2	"喦"
"ngai"	"ŋai"	2	"碞"
"ngai"	"ŋai"	2	"癌"
"ngai"	"ŋai"	3	"矮"
"ngai"	"ŋai"	3	"藹"
"ngai"	"ŋai"	3	"蔼"
"ngai"	"ŋai"	3	"靄"
"ngai"	"ŋai"	3	"霭"
"ngai"	"ŋai"	3	"乃"
"ngai"	"ŋai"	5	"艾"
"ngai"	"ŋai"	5	"愛"
"ngai"	"ŋai"	5	"爱"
"ngai"	"ŋai"	5	"嬡"
"ngai"	"ŋai"	5	"嫒"
"ngai"	"ŋai"	5	"曖"
"ngai"	"ŋai"	5	"暧"
"ngai"	"ŋai"	5	"僾"
"ngai"	"ŋai"	5	"薆"
"ngai"	"ŋai"	5	"靉"
"ngai"	"ŋai"	5	"叆"
"ngai"	"ŋai"	5	"鑀"
"ngai"	"ŋai"	5	"礙"
"ngai"	"ŋai"	5	"碍"
"ngai"	"ŋai"	5	"隘"
"ngai"	"ŋai"	5	"嗌"
"ngai"	"ŋai"	5	"餲"
"ngai"	"ŋai"	5	"噫"
"ngai"	"ŋai"	5	"磑"
"ngai"	"ŋai"	5	"硙"
"ngai"	"ŋai"	5	"壒"
"ngai"	"ŋai"	6	"艾"
"ngai"	"ŋai"	6	"礙"
"ngai"	"ŋai"	6	"碍"
"ngai"	"ŋai"	6	"雁"		"～鵝：大雁"
"ngai"	"ŋai"	6	"外"		"～後天：大後天"
"xai"	"xai"	2	"孩"
"xai"	"xai"	2	"骸"
"xai"	"xai"	2	"咳"
"xai"	"xai"	2	"頦"
"xai"	"xai"	2	"颏"
"xai"	"xai"	2	"咍"
"xai"	"xai"	2	"還"
"xai"	"xai"	2	"还"
"xai"	"xai"	2	"鞋"
"xai"	"xai"	2	"鞵"
"xai"	"xai"	2	"偕"
"xai"	"xai"	2	"諧"
"xai"	"xai"	2	"谐"
"xai"	"xai"	2	"龤"
"xai"	"xai"	3	"海"
"xai"	"xai"	3	"醢"
"xai"	"xai"	3	"駭"
"xai"	"xai"	3	"骇"
"xai"	"xai"	3	"咳"
"xai"	"xai"	3	"夥"
"xai"	"xai"	3	"駴"
"xai"	"xai"	3	"蟹"
"xai"	"xai"	3	"澥"
"xai"	"xai"	3	"獬"
"xai"	"xai"	3	"薢"
"xai"	"xai"	5	"亥"
"xai"	"xai"	5	"氦"
"xai"	"xai"	5	"害"
"xai"	"xai"	5	"嗐"
"xai"	"xai"	5	"解"
"xai"	"xai"	5	"懈"
"xai"	"xai"	5	"廨"
"xai"	"xai"	5	"𪠘"
"xai"	"xai"	5	"嶰"
"xai"	"xai"	5	"邂"
"xai"	"xai"	5	"獬"
"xai"	"xai"	5	"澥"
"xai"	"xai"	5	"薤"
"xai"	"xai"	5	"瀣"
"xai"	"xai"	5	"㕢"
"xai"	"xai"	5	"旱"		"～煙"
"xai"	"xai"	6	"害"
"xai"	"xai"	6	"解"		"姓氏"
"ai"	"ai"	1	"唉"
"ai"	"ai"	1	"欸"
"ai"	"ai"	3	"哎"
"ai"	"ai"	3	"噯"
"ai"	"ai"	3	"嗳"
"ai"	"ai"	3	"欸"
"guai"	"kuai"	1	"乖"
"guai"	"kuai"	3	"拐"
"guai"	"kuai"	3	"柺"
"guai"	"kuai"	3	"罫"
"guai"	"kuai"	3	"踝"
"guai"	"kuai"	5	"怪"
"guai"	"kuai"	5	"夬"
"kuai"	"kʰuai"	3	"蒯"
"kuai"	"kʰuai"	3	"塊"
"kuai"	"kʰuai"	3	"块"
"kuai"	"kʰuai"	3	"傀"
"kuai"	"kʰuai"	3	"凷"
"kuai"	"kʰuai"	3	"擓"
"kuai"	"kʰuai"	3	"㧟"
"kuai"	"kʰuai"	5	"快"
"kuai"	"kʰuai"	5	"筷"
"kuai"	"kʰuai"	5	"駃"
"kuai"	"kʰuai"	5	"會"
"kuai"	"kʰuai"	5	"会"
"kuai"	"kʰuai"	5	"儈"
"kuai"	"kʰuai"	5	"侩"
"kuai"	"kʰuai"	5	"獪"
"kuai"	"kʰuai"	5	"狯"
"kuai"	"kʰuai"	5	"檜"
"kuai"	"kʰuai"	5	"桧"
"kuai"	"kʰuai"	5	"噲"
"kuai"	"kʰuai"	5	"哙"
"kuai"	"kʰuai"	5	"澮"
"kuai"	"kʰuai"	5	"浍"
"kuai"	"kʰuai"	5	"劊"
"kuai"	"kʰuai"	5	"刽"
"kuai"	"kʰuai"	5	"膾"
"kuai"	"kʰuai"	5	"脍"
"kuai"	"kʰuai"	5	"鄶"
"kuai"	"kʰuai"	5	"郐"
"kuai"	"kʰuai"	5	"薈"
"kuai"	"kʰuai"	5	"荟"
"kuai"	"kʰuai"	5	"禬"
"kuai"	"kʰuai"	5	"襘"
"kuai"	"kʰuai"	5	"旝"
"kuai"	"kʰuai"	5	"鱠"
"kuai"	"kʰuai"	5	"鲙"
"kuai"	"kʰuai"	5	"廥"
"kuai"	"kʰuai"	5	"𥲖"
"kuai"	"kʰuai"	5	"喟"
"kuai"	"kʰuai"	6	"擓"
"kuai"	"kʰuai"	6	"㧟"
"uai"	"uai"	1	"歪"
"uai"	"uai"	5	"外"
"uai"	"uai"	6	"外"
"zhyai"	"tɕyai"	3	"轉"		"～味：抖派頭；發～"
"zhyai"	"tɕyai"	3	"拽"		"俗「轉」字"
"chyai"	"tɕʰyai"	3	"揣"
"chyai"	"tɕʰyai"	3	"踹"
"chyai"	"tɕʰyai"	5	"嘬"
"chyai"	"tɕʰyai"	5	"蠆"
"chyai"	"tɕʰyai"	5	"虿"
"shyai"	"ɕyai"	1	"衰"
"shyai"	"ɕyai"	3	"摔"
"shyai"	"ɕyai"	3	"甩"
"shyai"	"ɕyai"	5	"帥"
"shyai"	"ɕyai"	5	"帅"
"shyai"	"ɕyai"	5	"率"
"bei"	"pɘi"	1	"卑"
"bei"	"pɘi"	1	"碑"
"bei"	"pɘi"	1	"庳"
"bei"	"pɘi"	1	"椑"
"bei"	"pɘi"	1	"痺"
"bei"	"pɘi"	1	"箄"
"bei"	"pɘi"	1	"萆"
"bei"	"pɘi"	1	"蓖"
"bei"	"pɘi"	1	"悲"
"bei"	"pɘi"	1	"杯"
"bei"	"pɘi"	1	"盃"
"bei"	"pɘi"	1	"桮"
"bei"	"pɘi"	1	"背"
"bei"	"pɘi"	1	"陂"
"bei"	"pɘi"	1	"詖"
"bei"	"pɘi"	1	"诐"
"bei"	"pɘi"	2	"培"
"bei"	"pɘi"	2	"陪"
"bei"	"pɘi"	2	"賠"
"bei"	"pɘi"	2	"赔"
"bei"	"pɘi"	2	"裴"
"bei"	"pɘi"	2	"坏"
"bei"	"pɘi"	5	"貝"
"bei"	"pɘi"	5	"贝"
"bei"	"pɘi"	5	"唄"
"bei"	"pɘi"	5	"呗"
"bei"	"pɘi"	5	"狽"
"bei"	"pɘi"	5	"狈"
"bei"	"pɘi"	5	"鋇"
"bei"	"pɘi"	5	"钡"
"bei"	"pɘi"	5	"梖"
"bei"	"pɘi"	5	"贔"
"bei"	"pɘi"	5	"赑"
"bei"	"pɘi"	5	"賁"
"bei"	"pɘi"	5	"贲"
"bei"	"pɘi"	5	"費"
"bei"	"pɘi"	5	"费"
"bei"	"pɘi"	5	"倍"
"bei"	"pɘi"	5	"蓓"
"bei"	"pɘi"	5	"焙"
"bei"	"pɘi"	5	"𤊷"
"bei"	"pɘi"	5	"北"
"bei"	"pɘi"	5	"邶"
"bei"	"pɘi"	5	"輩"
"bei"	"pɘi"	5	"辈"
"bei"	"pɘi"	5	"琲"
"bei"	"pɘi"	5	"痱"
"bei"	"pɘi"	5	"婢"
"bei"	"pɘi"	5	"奰"
"bei"	"pɘi"	5	"孛"
"bei"	"pɘi"	5	"悖"
"bei"	"pɘi"	5	"誖"
"bei"	"pɘi"	5	"薜"
"bei"	"pɘi"	5	"避"
"bei"	"pɘi"	5	"臂"
"bei"	"pɘi"	5	"嬖"
"bei"	"pɘi"	5	"辟"
"bei"	"pɘi"	5	"坒"
"bei"	"pɘi"	5	"陛"
"bei"	"pɘi"	5	"梐"
"bei"	"pɘi"	5	"狴"
"bei"	"pɘi"	5	"庳"
"bei"	"pɘi"	5	"萆"
"bei"	"pɘi"	5	"敝"
"bei"	"pɘi"	5	"蔽"
"bei"	"pɘi"	5	"弊"
"bei"	"pɘi"	5	"獘"
"bei"	"pɘi"	5	"幣"
"bei"	"pɘi"	5	"斃"
"bei"	"pɘi"	5	"鷩"
"bei"	"pɘi"	5	"鄨"
"bei"	"pɘi"	5	"閉"
"bei"	"pɘi"	5	"闭"
"bei"	"pɘi"	5	"篦"
"bei"	"pɘi"	5	"比"
"bei"	"pɘi"	5	"庇"
"bei"	"pɘi"	5	"芘"
"bei"	"pɘi"	5	"毖"
"bei"	"pɘi"	5	"沘"
"bei"	"pɘi"	5	"泌"
"bei"	"pɘi"	5	"柲"
"bei"	"pɘi"	5	"袐"
"bei"	"pɘi"	5	"秘"
"bei"	"pɘi"	5	"苾"
"bei"	"pɘi"	5	"閟"
"bei"	"pɘi"	5	"䪐"
"bei"	"pɘi"	5	"庀"
"bei"	"pɘi"	5	"陂"
"bei"	"pɘi"	5	"跛"
"bei"	"pɘi"	5	"詖"
"bei"	"pɘi"	5	"诐"
"bei"	"pɘi"	5	"鞁"
"bei"	"pɘi"	5	"骳"
"bei"	"pɘi"	5	"髲"
"bei"	"pɘi"	5	"畀"
"bei"	"pɘi"	5	"痹"
"bei"	"pɘi"	5	"僻"
"bei"	"pɘi"	5	"被"
"bei"	"pɘi"	5	"背"
"bei"	"pɘi"	5	"備"	"备"
"bei"	"pɘi"	6	"蓖"
"bei"	"pɘi"	6	"倍"
"bei"	"pɘi"	6	"被"
"bei"	"pɘi"	6	"焙"
"bei"	"pɘi"	6	"背"		"～時"
"bei"	"pɘi"	6	"備"	"备"	"預～"
"pei"	"pʰɘi"	1	"坏"
"pei"	"pʰɘi"	1	"柸"
"pei"	"pʰɘi"	1	"胚"
"pei"	"pʰɘi"	1	"肧"
"pei"	"pʰɘi"	1	"醅"
"pei"	"pʰɘi"	1	"丕"
"pei"	"pʰɘi"	1	"㔻"
"pei"	"pʰɘi"	1	"伾"
"pei"	"pʰɘi"	1	"邳"
"pei"	"pʰɘi"	1	"狉"
"pei"	"pʰɘi"	1	"豾"
"pei"	"pʰɘi"	1	"秠"
"pei"	"pʰɘi"	1	"駓"
"pei"	"pʰɘi"	3	"呸"
"pei"	"pʰɘi"	5	"配"
"pei"	"pʰɘi"	5	"妃"
"pei"	"pʰɘi"	5	"佩"
"pei"	"pʰɘi"	5	"珮"
"pei"	"pʰɘi"	5	"轡"
"pei"	"pʰɘi"	5	"辔"
"pei"	"pʰɘi"	5	"肺"
"pei"	"pʰɘi"	5	"沛"
"pei"	"pʰɘi"	5	"旆"
"pei"	"pʰɘi"	5	"斾"
"pei"	"pʰɘi"	5	"霈"
"pei"	"pʰɘi"	5	"茷"
"pei"	"pʰɘi"	5	"淠"
"pei"	"pʰɘi"	5	"浿"
"pei"	"pʰɘi"	5	"譬"
"pei"	"pʰɘi"	5	"辟"
"pei"	"pʰɘi"	5	"帔"
"pei"	"pʰɘi"	5	"潎"
"pei"	"pʰɘi"	5	"媲"
"mei"	"mɘi"	1	"黣"
"mei"	"mɘi"	1	"痗"		"心情沮喪，臉色不好"
"mei"	"mɘi"	2	"枚"
"mei"	"mɘi"	2	"玟"
"mei"	"mɘi"	2	"眉"
"mei"	"mɘi"	2	"嵋"
"mei"	"mɘi"	2	"楣"
"mei"	"mɘi"	2	"湄"
"mei"	"mɘi"	2	"郿"
"mei"	"mɘi"	2	"煤"
"mei"	"mɘi"	2	"媒"
"mei"	"mɘi"	2	"禖"
"mei"	"mɘi"	2	"梅"
"mei"	"mɘi"	2	"槑"
"mei"	"mɘi"	2	"楳"
"mei"	"mɘi"	2	"某"
"mei"	"mɘi"	2	"苺"
"mei"	"mɘi"	2	"莓"
"mei"	"mɘi"	2	"酶"
"mei"	"mɘi"	2	"鉧"
"mei"	"mɘi"	2	"脢"
"mei"	"mɘi"	2	"霉"
"mei"	"mɘi"	2	"黴"
"mei"	"mɘi"	2	"脄"
"mei"	"mɘi"	2	"迷"
"mei"	"mɘi"	2	"謎"
"mei"	"mɘi"	2	"谜"
"mei"	"mɘi"	2	"麋"
"mei"	"mɘi"	2	"麛"
"mei"	"mɘi"	2	"冞"
"mei"	"mɘi"	2	"糜"
"mei"	"mɘi"	2	"靡"
"mei"	"mɘi"	2	"縻"
"mei"	"mɘi"	2	"蘼"
"mei"	"mɘi"	2	"劘"
"mei"	"mɘi"	2	"𪎭"
"mei"	"mɘi"	2	"釄"
"mei"	"mɘi"	2	"醾"
"mei"	"mɘi"	2	"彌"
"mei"	"mɘi"	2	"弥"
"mei"	"mɘi"	2	"瀰"
"mei"	"mɘi"	2	"㳽"
"mei"	"mɘi"	2	"濔"
"mei"	"mɘi"	2	"沵"
"mei"	"mɘi"	2	"禰"
"mei"	"mɘi"	2	"祢"
"mei"	"mɘi"	2	"獼"
"mei"	"mɘi"	2	"猕"
"mei"	"mɘi"	3	"美"
"mei"	"mɘi"	3	"渼"
"mei"	"mɘi"	3	"鎂"
"mei"	"mɘi"	3	"镁"
"mei"	"mɘi"	3	"每"
"mei"	"mɘi"	3	"浼"
"mei"	"mɘi"	3	"媺"
"mei"	"mɘi"	5	"妹"
"mei"	"mɘi"	5	"沬"
"mei"	"mɘi"	5	"昧"
"mei"	"mɘi"	5	"眛"
"mei"	"mɘi"	5	"寐"
"mei"	"mɘi"	5	"魅"
"mei"	"mɘi"	5	"韎"
"mei"	"mɘi"	5	"𥞊"
"mei"	"mɘi"	5	"袂"
"mei"	"mɘi"	5	"痗"
"mei"	"mɘi"	5	"脢"
"mei"	"mɘi"	5	"謎"
"mei"	"mɘi"	5	"谜"
"mei"	"mɘi"	5	"瑁"
"mei"	"mɘi"	5	"媚"
"mei"	"mɘi"	5	"鬽"
"mei"	"mɘi"	5	"襼"
"mei"	"mɘi"	6	"妹"
"mei"	"mɘi"	6	"謎"		"～子"
"mei"	"mɘi"	6	"沕"		"～子：身體不露出水面時的游泳動作"
"fei"	"ɸɘi"	1	"非"
"fei"	"ɸɘi"	1	"扉"
"fei"	"ɸɘi"	1	"菲"
"fei"	"ɸɘi"	1	"啡"
"fei"	"ɸɘi"	1	"騑"
"fei"	"ɸɘi"	1	"霏"
"fei"	"ɸɘi"	1	"痱"
"fei"	"ɸɘi"	1	"緋"
"fei"	"ɸɘi"	1	"绯"
"fei"	"ɸɘi"	1	"馡"
"fei"	"ɸɘi"	1	"蜚"
"fei"	"ɸɘi"	1	"匪"
"fei"	"ɸɘi"	1	"誹"
"fei"	"ɸɘi"	1	"诽"
"fei"	"ɸɘi"	1	"飛"
"fei"	"ɸɘi"	1	"飞"
"fei"	"ɸɘi"	1	"妃"
"fei"	"ɸɘi"	1	"灰"
"fei"	"ɸɘi"	1	"詼"
"fei"	"ɸɘi"	1	"诙"
"fei"	"ɸɘi"	1	"恢"
"fei"	"ɸɘi"	1	"悝"
"fei"	"ɸɘi"	1	"揮"
"fei"	"ɸɘi"	1	"挥"
"fei"	"ɸɘi"	1	"輝"
"fei"	"ɸɘi"	1	"辉"
"fei"	"ɸɘi"	1	"暉"
"fei"	"ɸɘi"	1	"晖"
"fei"	"ɸɘi"	1	"煇"
"fei"	"ɸɘi"	1	"楎"
"fei"	"ɸɘi"	1	"翬"
"fei"	"ɸɘi"	1	"翚"
"fei"	"ɸɘi"	1	"撝"
"fei"	"ɸɘi"	1	"麾"
"fei"	"ɸɘi"	1	"虺"
"fei"	"ɸɘi"	1	"豗"
"fei"	"ɸɘi"	1	"隳"
"fei"	"ɸɘi"	1	"堕"
"fei"	"ɸɘi"	1	"禕"
"fei"	"ɸɘi"	1	"睢"
"fei"	"ɸɘi"	1	"徽"
"fei"	"ɸɘi"	2	"肥"
"fei"	"ɸɘi"	2	"淝"
"fei"	"ɸɘi"	2	"蜰"
"fei"	"ɸɘi"	2	"腓"
"fei"	"ɸɘi"	2	"回"
"fei"	"ɸɘi"	2	"囬"
"fei"	"ɸɘi"	2	"迴"
"fei"	"ɸɘi"	2	"廻"
"fei"	"ɸɘi"	2	"洄"
"fei"	"ɸɘi"	2	"徊"
"fei"	"ɸɘi"	2	"佪"
"fei"	"ɸɘi"	2	"茴"
"fei"	"ɸɘi"	2	"蛔"
"fei"	"ɸɘi"	2	"痐"
"fei"	"ɸɘi"	2	"蛕"
"fei"	"ɸɘi"	2	"蚘"
"fei"	"ɸɘi"	3	"匪"
"fei"	"ɸɘi"	3	"斐"
"fei"	"ɸɘi"	3	"悱"
"fei"	"ɸɘi"	3	"菲"
"fei"	"ɸɘi"	3	"蜚"
"fei"	"ɸɘi"	3	"翡"
"fei"	"ɸɘi"	3	"誹"
"fei"	"ɸɘi"	3	"诽"
"fei"	"ɸɘi"	3	"棐"
"fei"	"ɸɘi"	3	"榧"
"fei"	"ɸɘi"	3	"筐"
"fei"	"ɸɘi"	3	"琲"
"fei"	"ɸɘi"	3	"朏"
"fei"	"ɸɘi"	3	"賄"
"fei"	"ɸɘi"	3	"贿"
"fei"	"ɸɘi"	3	"毁"
"fei"	"ɸɘi"	3	"燬"
"fei"	"ɸɘi"	3	"虺"
"fei"	"ɸɘi"	3	"虫"
"fei"	"ɸɘi"	3	"悔"
"fei"	"ɸɘi"	3	"䵋"		"顏色退去：～色"
"fei"	"ɸɘi"	5	"肺"
"fei"	"ɸɘi"	5	"芾"
"fei"	"ɸɘi"	5	"費"
"fei"	"ɸɘi"	5	"费"
"fei"	"ɸɘi"	5	"沸"
"fei"	"ɸɘi"	5	"狒"
"fei"	"ɸɘi"	5	"痱"
"fei"	"ɸɘi"	5	"怫"
"fei"	"ɸɘi"	5	"剕"
"fei"	"ɸɘi"	5	"厞"
"fei"	"ɸɘi"	5	"屝"
"fei"	"ɸɘi"	5	"䠊"
"fei"	"ɸɘi"	5	"吠"
"fei"	"ɸɘi"	5	"廢"
"fei"	"ɸɘi"	5	"废"
"fei"	"ɸɘi"	5	"癈"
"fei"	"ɸɘi"	5	"茷"
"fei"	"ɸɘi"	5	"𣏕"
"fei"	"ɸɘi"	5	"杮"
"fei"	"ɸɘi"	5	"誨"
"fei"	"ɸɘi"	5	"诲"
"fei"	"ɸɘi"	5	"晦"
"fei"	"ɸɘi"	5	"會"
"fei"	"ɸɘi"	5	"会"
"fei"	"ɸɘi"	5	"薈"
"fei"	"ɸɘi"	5	"荟"
"fei"	"ɸɘi"	5	"燴"
"fei"	"ɸɘi"	5	"烩"
"fei"	"ɸɘi"	5	"繪"
"fei"	"ɸɘi"	5	"卉"
"fei"	"ɸɘi"	5	"恚"
"fei"	"ɸɘi"	5	"彗"
"fei"	"ɸɘi"	5	"慧"
"fei"	"ɸɘi"	5	"篲"
"fei"	"ɸɘi"	5	"槥"
"fei"	"ɸɘi"	5	"嘒"
"fei"	"ɸɘi"	5	"暳"
"fei"	"ɸɘi"	5	"轊"
"fei"	"ɸɘi"	5	"惠"
"fei"	"ɸɘi"	5	"蕙"
"fei"	"ɸɘi"	5	"蟪"
"fei"	"ɸɘi"	5	"穗"
"fei"	"ɸɘi"	5	"繐"
"fei"	"ɸɘi"	5	"憓"
"fei"	"ɸɘi"	5	"鏸"
"fei"	"ɸɘi"	5	"譓"
"fei"	"ɸɘi"	5	"穢"
"fei"	"ɸɘi"	5	"秽"
"fei"	"ɸɘi"	5	"劌"
"fei"	"ɸɘi"	5	"薉"
"fei"	"ɸɘi"	5	"濊"
"fei"	"ɸɘi"	5	"噦"
"fei"	"ɸɘi"	5	"翽"
"fei"	"ɸɘi"	5	"𧴖"
"fei"	"ɸɘi"	5	"顪"
"fei"	"ɸɘi"	5	"諱"
"fei"	"ɸɘi"	5	"讳"
"fei"	"ɸɘi"	5	"喙"
"fei"	"ɸɘi"	5	"䜋"
"fei"	"ɸɘi"	5	"繢"
"fei"	"ɸɘi"	5	"缋"
"fei"	"ɸɘi"	5	"靧"
"fei"	"ɸɘi"	5	"頮"
"fei"	"ɸɘi"	5	"颒"
"fei"	"ɸɘi"	5	"匯"
"fei"	"ɸɘi"	5	"滙"
"fei"	"ɸɘi"	5	"𢑥"
"fei"	"ɸɘi"	5	"彙"
"fei"	"ɸɘi"	6	"會"
"fei"	"ɸɘi"	6	"会"
"dei"	"tɘi"	1	"堆"
"dei"	"tɘi"	1	"敦"
"dei"	"tɘi"	1	"追"
"dei"	"tɘi"	2	"頹"
"dei"	"tɘi"	2	"颓"
"dei"	"tɘi"	2	"㿗"
"dei"	"tɘi"	2	"穨"
"dei"	"tɘi"	2	"隤"
"dei"	"tɘi"	2	"尵"
"dei"	"tɘi"	2	"𪨇"
"dei"	"tɘi"	2	"魋"
"dei"	"tɘi"	3	"躉"
"dei"	"tɘi"	3	"趸"
"dei"	"tɘi"	3	"䇏"		"同「躉」：整批地買進"
"dei"	"tɘi"	5	"對"
"dei"	"tɘi"	5	"对"
"dei"	"tɘi"	5	"𠏮"
"dei"	"tɘi"	5	"懟"
"dei"	"tɘi"	5	"怼"
"dei"	"tɘi"	5	"轛"
"dei"	"tɘi"	5	"兑"
"dei"	"tɘi"	5	"駾"
"dei"	"tɘi"	5	"碓"		"～窩子：石臼"
"dei"	"tɘi"	5	"隊"
"dei"	"tɘi"	5	"队"
"dei"	"tɘi"	5	"祋"
"dei"	"tɘi"	5	"敦"
"dei"	"tɘi"	5	"鐓"
"dei"	"tɘi"	5	"镦"
"dei"	"tɘi"	5	"錞"
"dei"	"tɘi"	5	"憝"
"dei"	"tɘi"	5	"譈"
"tei"	"tʰɘi"	1	"推"
"tei"	"tʰɘi"	1	"蓷"
"tei"	"tʰɘi"	1	"焞"
"tei"	"tʰɘi"	3	"腿"
"tei"	"tʰɘi"	3	"骽"
"tei"	"tʰɘi"	3	"𮪭"
"tei"	"tʰɘi"	5	"退"
"tei"	"tʰɘi"	5	"蜕"
"tei"	"tʰɘi"	5	"税"
"lei"	"l̃ɘi"	1	"纍"		"前加成分，表示程度很深：～肥的"
"lei"	"l̃ɘi"	2	"雷"
"lei"	"l̃ɘi"	2	"擂"		"～槌：杵也"
"lei"	"l̃ɘi"	2	"蕾"
"lei"	"l̃ɘi"	2	"鐳"
"lei"	"l̃ɘi"	2	"镭"
"lei"	"l̃ɘi"	2	"嫘"
"lei"	"l̃ɘi"	2	"縲"
"lei"	"l̃ɘi"	2	"缧"
"lei"	"l̃ɘi"	2	"累"
"lei"	"l̃ɘi"	2	"樏"
"lei"	"l̃ɘi"	2	"藟"
"lei"	"l̃ɘi"	2	"攂"
"lei"	"l̃ɘi"	2	"罍"
"lei"	"l̃ɘi"	2	"纍"
"lei"	"l̃ɘi"	2	"虆"
"lei"	"l̃ɘi"	2	"𢺢"
"lei"	"l̃ɘi"	2	"蘽"
"lei"	"l̃ɘi"	2	"櫑"
"lei"	"l̃ɘi"	2	"羸"
"lei"	"l̃ɘi"	3	"蕾"
"lei"	"l̃ɘi"	3	"癗"
"lei"	"l̃ɘi"	3	"累"
"lei"	"l̃ɘi"	3	"絫"
"lei"	"l̃ɘi"	3	"壘"
