"拼音"	"寬式IPA"	"調號"	"字甲"	"字乙"	"釋義"
"s"	"sɿ"	6	"似"		"肖也；～乎；嗣也"
"s"	"sɿ"	6	"士"		"～人；～女；將～"
"s"	"sɿ"	6	"禩"		"同「祀」，奕～"
"s"	"sɿ"	6	"事"		"～務；～奉"
"zh"	"tʃɿ"	1	"之"		"往也；代詞；連接詞"
"zh"	"tʃɿ"	1	"芝"		"～蘭"
"zh"	"tʃɿ"	1	"支"		"～持；～配；收～；～吾；～派；四～，通「肢」"
"zh"	"tʃɿ"	1	"枝"		"～葉；～梧：同「支吾」"
"zh"	"tʃɿ"	1	"吱"		"～～鳥聲"
"zh"	"tʃɿ"	1	"肢"		"～體"
"zh"	"tʃɿ"	1	"鳷"	"𫛛"	"鳥名"
"zh"	"tʃɿ"	1	"知"		"～識；～道"
"zh"	"tʃɿ"	1	"䵹"	"蜘"	"～鼄"
"zh"	"tʃɿ"	1	"䝷"		"以財質也"
"zh"	"tʃɿ"	1	"祇"		"敬也"
"zh"	"tʃɿ"	1	"氏"		"閼～"
"zh"	"tʃɿ"	1	"泜"		"水名"
"zh"	"tʃɿ"	1	"胝"		"牲體之本也"
"zh"	"tʃɿ"	1	"袛"		"～裯"
"zh"	"tʃɿ"	1	"脂"		"～肪；胭～"
"zh"	"tʃɿ"	1	"耆"		"焉～"
"zh"	"tʃɿ"	1	"榰"		"柱也"
"zh"	"tʃɿ"	1	"搘"		"支撐也"
"zh"	"tʃɿ"	1	"巵"	"卮"	"酒～"
"zh"	"tʃɿ"	1	"梔"		"～子花"
"zh"	"tʃɿ"	1	"禔"		"安也"
"zh"	"tʃɿ"	1	"𨢮"		"酒也"
"zh"	"tʃɿ"	2	"池"		"～塘；差～"
"zh"	"tʃɿ"	2	"杝"		"析薪也"
"zh"	"tʃɿ"	2	"𩚉"		"飴也"
"zh"	"tʃɿ"	2	"馳"	"驰"	"奔～"
"zh"	"tʃɿ"	2	"遲"	"迟"	"～早"
"zh"	"tʃɿ"	2	"墀"		"階上地也"
"zh"	"tʃɿ"	2	"𡂙"		"～～哆哆"
"zh"	"tʃɿ"	2	"蚳"		"蟻卵也"
"zh"	"tʃɿ"	2	"坻"		"水中高地也"
"zh"	"tʃɿ"	2	"持"		"握也；維～；扶～"
"zh"	"tʃɿ"	2	"歭"		"～䠧"
"zh"	"tʃɿ"	2	"踟"		"～躕"
"zh"	"tʃɿ"	2	"簃"		"閣邊小屋也"
"zh"	"tʃɿ"	2	"治"		"～理；～國"
"zh"	"tʃɿ"	2	"箈"		"小竹筍也"
"zh"	"tʃɿ"	2	"篪"		"樂器"
"zh"	"tʃɿ"	2	"竾"		"同「篪」；樂器"
"zh"	"tʃɿ"	2	"泜"		"水名"
"zh"	"tʃɿ"	3	"止"		"終～"
"zh"	"tʃɿ"	3	"址"		"地～"
"zh"	"tʃɿ"	3	"阯"		"同「址」；交～，即「交趾」"
"zh"	"tʃɿ"	3	"芷"		"香艸名"
"zh"	"tʃɿ"	3	"沚"		"小渚也"
"zh"	"tʃɿ"	3	"祉"		"福也"
"zh"	"tʃɿ"	3	"趾"		"足～"
"zh"	"tʃɿ"	3	"只"		"語詞；～有"
"zh"	"tʃɿ"	3	"咫"		"～尺"
"zh"	"tʃɿ"	3	"枳"		"果名"
"zh"	"tʃɿ"	3	"軹"	"轵"	"車具"
"zh"	"tʃɿ"	3	"旨"		"～意；甘～"
"zh"	"tʃɿ"	3	"恉"		"～意，通作「旨」"
"zh"	"tʃɿ"	3	"指"		"手～；～示"
"zh"	"tʃɿ"	3	"耆"		"致也"
"zh"	"tʃɿ"	3	"徵"		"五音之一"
"zh"	"tʃɿ"	3	"黹"		"鍼～"
"zh"	"tʃɿ"	3	"峙"		"屹立也，具也"
"zh"	"tʃɿ"	3	"歭"		"供具也；又同「峙」"
"zh"	"tʃɿ"	3	"畤"		"祭祀地也"
"zh"	"tʃɿ"	3	"庤"		"儲也，具也"
"zh"	"tʃɿ"	3	"偫"		"儲也，具也。"
"zh"	"tʃɿ"	3	"坻"		"止也"
"zh"	"tʃɿ"	3	"抵"		"擊也，～掌而談"
"zh"	"tʃɿ"	3	"砥"		"～柱；～礪"
"zh"	"tʃɿ"	3	"扺"		"通「抵」：側擊也"
"zh"	"tʃɿ"	3	"厎"		"～空：致也"
"zh"	"tʃɿ"	3	"祇"		"同「只」：但也"
"zh"	"tʃɿ"	3	"紙"	"纸"	"～張；狀～"
"zh"	"tʃɿ"	3	"秪"		"同「紙」：～張；狀～"
"zh"	"tʃɿ"	3	"帋"		"同「紙」：～張；狀～"
"zh"	"tʃɿ"	3	"脂"		"～肪"
"zh"	"tʃɿ"	3	"𧝉"	"𧛢"	"䘢～"
"zh"	"tʃɿ"	5	"志"		"～向；記也，同「誌」"
"zh"	"tʃɿ"	5	"痣"		"皮膚之突起也"
"zh"	"tʃɿ"	5	"誌"	"𰵧"	"記也，碑～"
"zh"	"tʃɿ"	5	"鋕"		"銘也"
"zh"	"tʃɿ"	5	"䏯"		"黑子也，同「痣」"
"zh"	"tʃɿ"	5	"識"	"识"	"記也，同「誌」"
"zh"	"tʃɿ"	5	"幟"	"帜"	"旗～"
"zh"	"tʃɿ"	5	"智"	"知"	"～慧"
"zh"	"tʃɿ"	5	"至"		"到也；極也；冬～，夏～"
"zh"	"tʃɿ"	5	"致"		"意～；～遠；一～；招～；景～；又同「緻」"
"zh"	"tʃɿ"	5	"緻"	"𰬫"	"精～；景～"
"zh"	"tʃɿ"	5	"輊"	"轾"	"軒～"
"zh"	"tʃɿ"	5	"㮹"		"刺也"
"zh"	"tʃɿ"	5	"郅"		"至也；郁～，漢縣名"
"zh"	"tʃɿ"	5	"制"		"～度；～裁；統～；又同「製」"
"zh"	"tʃɿ"	5	"猘"		"狂犬也"
"zh"	"tʃɿ"	5	"製"		"～造；泡～"
"zh"	"tʃɿ"	5	"淛"		"水名"
"zh"	"tʃɿ"	5	"治"		"～安；省～，縣～"
"zh"	"tʃɿ"	5	"菭"		"～牆：菊別名"
"zh"	"tʃɿ"	5	"痔"		"～瘡"
"zh"	"tʃɿ"	5	"亂"	"乿"	"古「治」字"
"zh"	"tʃɿ"	5	"質"	"质"	"典押以取信也"
"zh"	"tʃɿ"	5	"懫"	"𰑬"	"忿戾也"
"zh"	"tʃɿ"	5	"瘈"		"狂犬也"
"zh"	"tʃɿ"	5	"忮"		"嫉也"
"zh"	"tʃɿ"	5	"置"		"設也"
"zh"	"tʃɿ"	5	"寘"		"設也"
"zh"	"tʃɿ"	5	"直"		"物價也"
"zh"	"tʃɿ"	5	"植"		"立也"
"zh"	"tʃɿ"	5	"𰤙"		"星光也"
"zh"	"tʃɿ"	5	"晢"	"晣"	"明也"
"zh"	"tʃɿ"	5	"摯"	"挚"	"懇～"
"zh"	"tʃɿ"	5	"鷙"	"鸷"	"鳥之猛者"
"zh"	"tʃɿ"	5	"驇"	"𱅊"	"馬重皃"
"zh"	"tʃɿ"	5	"贄"	"贽"	"執物以相見也"
"zh"	"tʃɿ"	5	"觶"	"觯"	"酒器"
"zh"	"tʃɿ"	5	"遲"	"迟"	"待也"
"zh"	"tʃɿ"	5	"騭"	"骘"	"陰～"
"zh"	"tʃɿ"	5	"疐"		"礙不行也；又同「躓」：跲也"
"zh"	"tʃɿ"	5	"𢷟"		"同「疐」：～礙"
"zh"	"tʃɿ"	5	"値"	"值"	"價～；相遇"
"zh"	"tʃɿ"	5	"咥"		"笑皃"
"zh"	"tʃɿ"	5	"躓"	"踬"	"跲也"
"zh"	"tʃɿ"	5	"熾"	"炽"	"火盛"
"zh"	"tʃɿ"	5	"織"	"织"	"織文錦綺也"
"zh"	"tʃɿ"	5	"饎"	"𱄆"	"熟食"
"zh"	"tʃɿ"	5	"掣"		"曳也"
"zh"	"tʃɿ"	5	"懘"		"惉～：音不和"
"zh"	"tʃɿ"	5	"懥"		"怒也"
"zh"	"tʃɿ"	5	"窒"		"～塞"
"zh"	"tʃɿ"	5	"蟄"	"蛰"	"驚～"
"zh"	"tʃɿ"	6	"痔"		"～瘡"
"zh"	"tʃɿ"	7	"隻"		"單也；計物單位名"
"zh"	"tʃɿ"	7	"只"		"同「隻」：單也；計物單位名。僅也"
"zh"	"tʃɿ"	7	"汁"		"液也"
"zh"	"tʃɿ"	7	"織"	"织"	"～布"
"zh"	"tʃɿ"	7	"職"	"职"	"～業；惟也"
"zh"	"tʃɿ"	7	"熾"	"炽"	"盛也，炊也"
"zh"	"tʃɿ"	7	"樴"		"橛也"
"zh"	"tʃɿ"	7	"幟"	"帜"	"旗～"
"zh"	"tʃɿ"	7	"蹠"	"跖"	"足掌也；盜～"
"zh"	"tʃɿ"	7	"摭"	"拓"	"拾取也"
"zh"	"tʃɿ"	7	"䗪"		"地鼈也"
"zh"	"tʃɿ"	7	"直"		"曲～；正～；橫～"
"zh"	"tʃɿ"	7	"値"	"值"	"價～；～日；相遇也"
"zh"	"tʃɿ"	7	"植"		"～物；～樹"
"zh"	"tʃɿ"	7	"殖"		"生～"
"zh"	"tʃɿ"	7	"埴"		"黏土也"
"zh"	"tʃɿ"	7	"稙"		"早種禾也"
"zh"	"tʃɿ"	7	"置"		"安～；設～"
"zh"	"tʃɿ"	7	"寘"		"同「置」：設也"
"zh"	"tʃɿ"	7	"犆"		"緣也"
"zh"	"tʃɿ"	7	"質"	"质"	"本～；資～"
"zh"	"tʃɿ"	7	"懫"	"𰑬"	"忿戾也"
"zh"	"tʃɿ"	7	"躓"	"踬"	"跲也"
"zh"	"tʃɿ"	7	"鑕"	"锧"	"刀～"
"zh"	"tʃɿ"	7	"櫍"	"𬃊"	"斧～"
"zh"	"tʃɿ"	7	"礩"	"𰧉"	"柱下石也"
"zh"	"tʃɿ"	7	"執"	"执"	"待也；固～；父～輩"
"zh"	"tʃɿ"	7	"縶"	"絷"	"繫也"
"zh"	"tʃɿ"	7	"蟄"	"蛰"	"蟲類潛出也"
"zh"	"tʃɿ"	7	"摯"	"挚"	"懇～"
"zh"	"tʃɿ"	7	"鷙"	"鸷"	"鳥之猛者"
"zh"	"tʃɿ"	7	"驇"	"𱅊"	"馬重皃"
"zh"	"tʃɿ"	7	"贄"	"贽"	"執物以相見也"
"zh"	"tʃɿ"	7	"姪"		"叔～"
"zh"	"tʃɿ"	7	"侄"		"堅也；又同「姪」"
"zh"	"tʃɿ"	7	"桎"		"～梏"
"zh"	"tʃɿ"	7	"厔"		"盩厔，縣名"
"zh"	"tʃɿ"	7	"蛭"		"水～"
"zh"	"tʃɿ"	7	"郅"		"至也；郁～，漢縣名"
"zh"	"tʃɿ"	7	"咥"		"大笑也"
"zh"	"tʃɿ"	7	"挃"		"～～，穫禾聲"
"zh"	"tʃɿ"	7	"銍"	"铚"	"鎌類"
"zh"	"tʃɿ"	7	"庢"		"礙也；又同「厔」"
"zh"	"tʃɿ"	7	"輊"	"轾"	"軒～"
